# The identifiers in the ID_REF column must match the identifiers in the ID column of the referenced platform (GPLxxxx).												
# The Matrix table should include non-normalized signal count data and detectip p-value												
"# Values that should be disregarded may either be left blank or labeled as ""null""."												
	GSM998616		GSM998617		GSM998618		GSM998619		GSM998620		GSM998621	
 ID_REF	SAMPLE 1	Detection Pval	SAMPLE 2	Detection Pval	SAMPLE 3	Detection Pval	SAMPLE 4	Detection Pval	SAMPLE 5	Detection Pval	SAMPLE 6	Detection Pval
ILMN_1809034	47.14098	0.9826897	82.04092	0.05890227	60.40219	0.7228916	68.67834	0.2283044	63.96179	0.5040107	78.72989	0.02288022
ILMN_1660305	70.53151	0.05992011	188.8847	0	95.56632	0	190.2819	0	163.4476	0	125.4516	0
ILMN_1792173	69.27186	0.07323568	117.9102	0	87.16071	0	105.5193	0	103.9176	0	91.5209	0
ILMN_1762337	63.29283	0.2396804	75.27474	0.1927711	69.69818	0.2396252	70.47435	0.1682243	67.73235	0.302139	67.86315	0.2839839
ILMN_2055271	60.36482	0.4034621	78.06932	0.124498	84.68591	0.008032128	81.43195	0.006675567	71.7914	0.1497326	73.81981	0.09690444
ILMN_1736007	66.43927	0.1225033	67.20684	0.4993307	76.14923	0.0789826	66.47955	0.3164219	71.26823	0.1657754	65.91551	0.371467
ILMN_1814316	53.45915	0.8002663	55.33992	0.9330656	62.16259	0.6238286	55.01397	0.8758345	62.28552	0.5842246	61.7996	0.5854644
ILMN_2359168	61.46033	0.3315579	57.73751	0.8888889	80.35635	0.03480589	67.67274	0.2670227	68.35841	0.2847594	61.12475	0.6258412
ILMN_1731507	62.34272	0.286285	58.95998	0.8661312	60.38779	0.7228916	54.21901	0.9012016	66.19586	0.3716578	58.52341	0.7873486
ILMN_1787689	61.06782	0.3541944	69.05295	0.4190094	61.65585	0.6532798	61.25624	0.5954606	59.87533	0.7112299	77.62698	0.0269179
ILMN_1745607	275.785	0	451.3756	0	668.7889	0	177.3035	0	271.7933	0	269.7639	0
ILMN_2136495	56.60672	0.6311585	78.39042	0.1178045	64.87885	0.4712182	55.80611	0.858478	73.51447	0.09491979	65.88599	0.371467
ILMN_1668111	57.39427	0.5792277	54.80926	0.939759	63.02111	0.583668	60.63768	0.6461949	55.6767	0.8997326	63.54879	0.4925976
ILMN_2295559	64.03505	0.2010652	75.46168	0.1874163	64.43656	0.4939759	82.31162	0.00400534	73.78868	0.09224599	71.84512	0.1561238
