# The identifiers in the ID_REF column must match the identifiers in the ID column of the referenced platform (GPLxxxx).																				
# The Matrix table should include non-normalized signal count data and detectip p-value																				
"# Values that should be disregarded may either be left blank or labeled as ""null""."																				
	GSM998606		GSM998607		GSM998608		GSM998609		GSM998610		GSM998611		GSM998612		GSM998613		GSM998614		GSM998615	
 ID_REF	SAMPLE 1	Detection Pval	SAMPLE 2	Detection Pval	SAMPLE 3	Detection Pval	SAMPLE 4	Detection Pval	SAMPLE 5	Detection Pval	SAMPLE 6	Detection Pval	SAMPLE 7	Detection Pval	SAMPLE 8	Detection Pval	SAMPLE 9	Detection Pval	SAMPLE 10	Detection Pval
ILMN_1809034	84.91286	0	90.61475	0	85.4463	0	70.77905	0.2169811	66.27212	0	93.63436	0.004048583	77.35526	0.1024259	84.35745	0.008097166	66.62694	0.4155313	101.269	0
ILMN_1660305	159.4978	0	114.476	0	120.7312	0	143.535	0	152.1468	0	282.5923	0	201.2621	0	247.1606	0	130.8602	0	255.4655	0
ILMN_1792173	118.2456	0	115.6184	0	103.466	0	110.6863	0	102.7609	0	215.6977	0	150.3626	0	169.8632	0	153.0745	0	140.448	0
ILMN_1762337	57.50711	0.6872483	71.65972	0.1666667	54.20355	0.9395973	61.59386	0.745283	58.94138	1	66.50569	0.6882591	69.69127	0.3355795	73.74013	0.1012146	64.59174	0.5258856	66.24556	0.6395664
ILMN_2055271	58.54355	0.6268457	69.37885	0.2601626	60.79311	0.6939597	67.25687	0.3638814	79.30431	0	80.64943	0.120108	77.79903	0.09973046	93.3818	0	78.13444	0.05585831	81.35326	0.08807588
ILMN_1736007	54.40092	0.8348993	71.13952	0.1883469	57.91926	0.8214765	62.05509	0.7250674	62.75148	0	68.45912	0.5937922	71.46229	0.2520216	65.34875	0.4574899	63.57738	0.585831	72.65138	0.3279133
ILMN_1814316	60.18091	0.5167785	72.22747	0.1436314	67.62601	0.3114094	59.88245	0.8099731	61.87342	0	62.18993	0.8609986	62.93618	0.7183288	62.98016	0.5843455	70.04476	0.2316076	59.69189	0.9037941
ILMN_2359168	73.75383	0.0442953	60.44145	0.7750677	69.34254	0.2281879	69.44364	0.2654986	61.29733	0	73.36891	0.3387314	81.87392	0.03369272	65.55235	0.4466937	70.38046	0.2207084	72.96012	0.3143632
ILMN_1731507	56.11604	0.7651007	62.96631	0.6490515	52.40487	0.9691275	61.30592	0.7560647	46.29655	1	67.98225	0.6167341	54.52406	0.9797844	67.96338	0.3292848	57.7124	0.8773842	64.79514	0.703252
ILMN_1787689	66.6927	0.2053691	63.97104	0.5826558	63.51675	0.5261745	59.95919	0.8059299	54.85007	1	64.69529	0.7597841	67.11918	0.4932615	70.38222	0.2105263	54.46056	0.9577656	72.59424	0.3292683
ILMN_1745607	96.78471	0	71.48475	0.1693767	64.13664	0.4926175	87.24193	0	123.2356	0	108.8841	0	97.94038	0	103.0831	0	133.0784	0	175.5726	0
ILMN_2136495	1468.193	0	653.1088	0	619.4943	0	478.0362	0	1273.64	0	1771.239	0	874.6651	0	908.1098	0	893.2603	0	2017.617	0
ILMN_1668111	57.38919	0.6926175	66.6086	0.4227642	64.54651	0.4738255	57.94877	0.893531	54.41885	1	62.26905	0.8596491	66.91595	0.5080863	71.47777	0.1646424	71.2618	0.1907357	75.50822	0.2317073
ILMN_2295559	65.54539	0.2416107	66.92776	0.401084	68.89292	0.2469799	73.1264	0.1455526	60.82612	1	75.09365	0.265857	68.58359	0.4110512	66.3455	0.4062078	65.7169	0.4686649	64.34995	0.7195122
ILMN_1735045	66.62115	0.209396	79.30547	0.02303523	59.07641	0.7718121	81.31861	0.008086253	64.57133	0	87.82941	0.02834008	89.16679	0	75.12227	0.08367071	80.15504	0.03133515	75.07249	0.2466125
ILMN_1680754	62.74224	0.3624161	65.30365	0.498645	56.65052	0.8684564	68.90608	0.2884097	55.8491	1	66.53785	0.6882591	59.34995	0.8625337	65.46954	0.4534413	63.94787	0.5694823	72.11636	0.3455285
ILMN_2375184	52.04372	0.9060403	86.64464	0	68.13213	0.285906	62.52124	0.6927224	68.9081	0	76.44615	0.2159244	84.56639	0.02156334	61.91975	0.6653171	63.73421	0.5803815	78.15057	0.1612466
ILMN_1659452	57.45199	0.6885906	69.4742	0.2520325	61.95207	0.6174496	71.49943	0.1873315	73.56203	0	70.27746	0.4979757	79.23585	0.08086254	69.85236	0.2334683	70.34528	0.2207084	76.10977	0.2086721
ILMN_1767388	53.31356	0.8751678	62.11318	0.6964769	72.99705	0.1127517	66.22046	0.4407008	70.67967	0	75.49763	0.245614	67.12695	0.4932615	69.16898	0.271255	62.08801	0.6634877	75.65312	0.2303523
ILMN_1675204	58.51865	0.6268457	46.93399	0.998645	59.34756	0.7583892	54.07297	0.9609165	55.12629	1	62.69733	0.8407558	64.50797	0.6495957	70.40725	0.2091768	55.43209	0.9427793	69.24485	0.4701897
ILMN_1673870	67.26717	0.1771812	61.56153	0.7235773	57.00188	0.8536913	68.39239	0.3180593	68.59109	0	62.72078	0.8407558	58.09337	0.916442	68.9012	0.2834008	70.68461	0.2043597	68.26921	0.5230352
ILMN_1755321	98.42722	0	101.2807	0	87.07027	0	96.60891	0	126.2643	0	192.5897	0	144.8719	0	143.885	0	156.6739	0	168.4778	0
ILMN_1698554	423.4929	0	289.6323	0	297.3376	0	350.9444	0	506.8847	0	751.8002	0	481.5658	0	519.0902	0	553.7092	0	519.3029	0
ILMN_1814092	68.11555	0.1449664	63.14971	0.6260163	70.61476	0.1825503	58.34851	0.8814016	62.3045	0	97.93933	0	66.31804	0.5458221	79.53172	0.03238866	75.44049	0.1008174	90.34093	0.006775068
ILMN_1760414	159.6116	0	102.3451	0	122.8138	0	95.10673	0	100.2541	0	384.5378	0	111.6406	0	191.8691	0	116.0667	0	126.3469	0
ILMN_2061446	78.48913	0.01208054	87.07734	0	84.17224	0.002684564	89.66642	0	76.52746	0	99.63453	0	87.89418	0	86.8325	0	87.25179	0	84.14682	0.04742547
ILMN_1676336	87.34733	0	75.48121	0.06775068	65.40991	0.4241611	106.5618	0	82.47999	0	99.25039	0	104.3411	0	117.8744	0	82.49516	0.01362398	93.35779	0.002710027
ILMN_1752884	393.2038	0	304.5454	0	120.7902	0	368.9482	0	482.8759	0	1371.238	0	710.2753	0	994.7153	0	624.4896	0	264.9504	0
ILMN_2270015	59.92828	0.5315436	56.22723	0.9214092	68.20604	0.2845638	59.8586	0.8099731	70.94324	0	76.10181	0.2280702	69.97818	0.3140162	59.8758	0.7597841	65.17229	0.486376	74.23097	0.2723577
ILMN_1809959	52.30129	0.8993289	58.75916	0.8577236	58.60291	0.7946309	62.4919	0.6940701	57.67994	1	61.11989	0.8920378	71.47839	0.2520216	58.12616	0.8259109	68.23244	0.3051771	60.07959	0.8902439
ILMN_2357031	52.88531	0.8832214	67.91724	0.3414634	53.80793	0.947651	68.47358	0.3153639	57.62132	1	71.05423	0.4493927	58.49727	0.8921833	60.66319	0.7246963	64.09679	0.5599455	61.64538	0.8401084
