"","exp","cd7"
"GSM1347237",6.21625044691691,"CD7P"
"GSM1347238",6.09936545256751,"CD7P"
"GSM1347239",6.18781630714636,"CD7P"
"GSM1347240",6.08651569344554,"CD7P"
"GSM1347242",9.34858735406471,"CD7N"
"GSM1347243",6.2785308628234,"CD7P"
"GSM1347245",6.99652285253327,"CD7N"
"GSM1347246",6.15123871450783,"CD7P"
"GSM1347248",6.24564939402875,"CD7N"
"GSM1347249",6.266873607068,"CD7P"
"GSM1347251",8.2603476425051,"CD7N"
"GSM1347252",6.52884749320214,"CD7P"
"GSM1347254",6.39829084370915,"CD7N"
"GSM1347255",8.61234100123507,"CD7N"
"GSM1347256",6.69026411414942,"CD7N"
"GSM1347257",6.40016646773719,"CD7N"
